primitive,short_description,search_terms,observer,turtles,patches,links,utilities,see_also,library_models
ask,a reporter that is used to make the agents in the agentset do something.,"ask, do, commands",TRUE,FALSE,FALSE,FALSE,FALSE,,
clear-all,"clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear all, erase, remove, delete",TRUE,FALSE,FALSE,FALSE,FALSE,"clear-patches, clear-turtles",
clear-patches,clears the patches by resetting all patch variables to their default initial values,"clear patches, erase, remove, delete, kill",TRUE,FALSE,TRUE,FALSE,FALSE,clear-all,
clear-turtles,removes all the turtles as well as resets the numbering of turtles,"clear turtles, erase, remove, delete, kill",TRUE,TRUE,FALSE,FALSE,FALSE,"die, clear-all",
color,built-in turtle characteristic that changes the color of the turtle,"color, pencil, change color, different color, turtle, turtles",TRUE,TRUE,FALSE,FALSE,FALSE,pcolor,
create-turtles,creates turtles with random colors and headings in the default shape of a turtle,"create turtles, create, make turtles, more, turtle, turtles",TRUE,TRUE,FALSE,FALSE,FALSE,"hatch, sprout",
facexy,"sets the turtle’s heading towards the patch (x,y)","facexy, face, toward, move, patch",TRUE,TRUE,FALSE,FALSE,FALSE,"face, setxy",
fd,allows turtles to move in any number of units that the programmer desires,"move, go, around, position, motion, location, forward",TRUE,TRUE,FALSE,TRUE,FALSE,"right, xcor",
import-pcolors,allows the user to import an image in NetLogo as the colors of the patches,"import image, image, picture, input picture, file, input file",FALSE,FALSE,FALSE,FALSE,FALSE,import-drawing,
move-to,allows a turtle to set its x and y coordinates to be the same as another turtle or patch,"move, go, around, jump",TRUE,TRUE,TRUE,FALSE,FALSE,"setxy, face",
neighbors,reports an agentset containing eight neighboring patches,"neighbors, surrounding patches, surrounding, nearby, around, north, south, east, west, northeast, northwest, southeast, southwest, directions",TRUE,TRUE,TRUE,TRUE,FALSE,"neighbors4, patch-ahead",
neighbors4,reports an agentset containing four neighboring patches,"neighbors4, neighbors, surrounding patches, surrounding, nearby, around, north, south, west, east, directions ",TRUE,TRUE,TRUE,TRUE,FALSE,"neighbors, patch-ahead",
other,reports an agentset which is the same as the input agentset but omits the agent who is asking for the report,"other, omit",FALSE,FALSE,FALSE,FALSE,TRUE,"all?, any?, nobody, ",
patch-ahead,reports the single patch that is the given distance “ahead” of this turtle,"patch ahead, ahead, distance, units, move ahead",TRUE,FALSE,TRUE,FALSE,FALSE,"neighbors, neighbors4",
pcolor,built-in patch variable that holds the color of the patch,"pcolor, patch color, color, patch, patches, change color",FALSE,FALSE,TRUE,FALSE,FALSE,color,
repeat,allows you to execute any set of commands n amount of times,"repeat, repetition, again, multiple, move, go",TRUE,TRUE,TRUE,TRUE,FALSE,"pen-down, pen-up",
round,reports the integer to the nearest whole number.,"round, go up, go down, numbers",TRUE,FALSE,FALSE,FALSE,TRUE,,
semicolon,used for making helpful comments or notes on a line of code,"semicolon, comments, comment, notes, help",FALSE,FALSE,FALSE,FALSE,FALSE,,
shape,represents the shape of each agent,"shape, different shape, change shape, turtle",TRUE,TRUE,FALSE,TRUE,FALSE,"set default shape, shapes",
to,used to begin a command procedure,"to, begin, command",FALSE,FALSE,FALSE,FALSE,TRUE,to-report,
turtle,an agent that is used to complete actions in NetLogo,"turtle, shape, triangle",TRUE,TRUE,FALSE,TRUE,FALSE,"shape, shapes, set default shape, create-turtles",
