primitive,short_description,search_terms,observer,turtles,patches,links,utilities,see_also,library_models,,,,,,,,,,,,,,,,
all?,Checks if a reporter is true for all agents in an agentset.,"all, check, agents, agentset, exist",FALSE,FALSE,FALSE,FALSE,TRUE,"any?, nobody, count, not, if","Autumn, Shepherds, Scatter, Party",,,,,,,,,,,,,,,,
and,Checks if both provided conditions are true.,"both, boolean, true, false, combine",FALSE,FALSE,FALSE,FALSE,TRUE,"if, or, if-else, ifelse-value, not","Autumn, Fur, Flocking, Small Worlds",,,,,,,,,,,,,,,,
any?,Checks if there are any agents in an agentset.,"any, within, count, agentset,remaining",FALSE,FALSE,FALSE,FALSE,TRUE,"all?, count, if, other, nobody","Anisogamy, Fur, Mammoths, Fireworks",,,,,,,,,,,,,,,,
ask,Asks agents do things.,"do, commands, rules, behavior",TRUE,FALSE,FALSE,FALSE,FALSE,"turtles, patches, links, with, n-of, one-of","Ants, Mimicry, Moths, Tumor",,,,,,,,,,,,,,,,
breed,Defines a custom breed of turtles.,"kind, type, subset, custom",TRUE,FALSE,FALSE,FALSE,FALSE,"create-turtles, turtles-own, die, ask, hatch","Bacterial Infection, Disease Solo, Rabbit Grass Weeds, Wolf Sheep Predation",,,,,,,,,,,,,,,,
ceiling,Rounds a number up to the nearest integer.,"round, up, integer, decimal, floating, math, calculate",FALSE,FALSE,FALSE,FALSE,TRUE,"floor, round, mean, count","GasLab Circular Particles, Traffic 2 Lanes, Chaos in a Box, Decay",,,,,,,,,,,,,,,,
ca,"Clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",TRUE,FALSE,FALSE,FALSE,FALSE,"clear-patches, clear-turtles, die, reset-ticks, globals, create-turtles","Flocking, Fur, Daisyworld, Wolf Sheep Predation, Follower",,,,,,,,,,,,,,,,
clear-all,"Clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",TRUE,FALSE,FALSE,FALSE,FALSE,"clear-patches, clear-turtles, die, reset-ticks, globals, create-turtles","Flocking, Fur, Daisyworld, Wolf Sheep Predation, Follower",,,,,,,,,,,,,,,,
clear-patches,Clears the patches by resetting all patch variables to their default initial values and making them black.,"clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",TRUE,FALSE,FALSE,FALSE,FALSE,"clear-all, clear-turtles, neighbors, pcolor, reset-ticks, globals, create-turtles","Disease Solo, Turbulence, Simple Kinetics 3, Simple Birth Rates",,,,,,,,,,,,,,,,
clear-turtles,Removes all the turtles as well as resets the numbering of turtles.,"clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",TRUE,FALSE,FALSE,FALSE,FALSE,"die, clear-all, clear-patches, reset-ticks, globals, create-turtles","Grand Canyon, Disease Solo, CA 1D Elementary, Simple Birth Rates",,,,,,,,,,,,,,,,
color,Built-in turtle characteristic that the color of a turtle and allows us to change it.,"color, pencil, change, turtle, link, look, style, design, visual, hue, rgb, hex",FALSE,TRUE,FALSE,TRUE,FALSE,"pcolor, scale-color, turtles-own, of, with","Sunflower, Mammoths, Bacterial Infection, Tumor",,,,,,,,,,,,,,,,
count,Counts the number of agents in an agentset.,"number, agents, many, turtles, links, patches, amount, total, sum",FALSE,FALSE,FALSE,FALSE,TRUE,"mean, mod, if, if-else, any?, all, turtles, patches","Mimicry, Peppered Moths, Virus, Plant Growth",,,,,,,,,,,,,,,,
