primitive,short_description,search_terms,observer,turtles,patches,links,utilities,see_also,library_models,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
all?,Checks if a reporter is true for all the agents in an agentset.,"check, agents, agentset, exist",False,False,False,False,True,"nobody, count, if, any","Autumn, Shepherds, Scatter, Party",,,,,,,,,,,,,,,,
and,Checks if both provided conditions are true.,"both, boolean, true, false, combine",False,False,False,False,True,"if, or, ifelse, with","Autumn, Fur, Flocking, Small Worlds",,,,,,,,,,,,,,,,
any?,Checks if there is at least one agent in an agentset.,"within, count, agentset, remaining",False,False,False,False,True,"all, if, other, nobody","Anisogamy, Fur, Mammoths, Fireworks",,,,,,,,,,,,,,,,
ask,Asks agents to do things.,"do, commands, rules, behavior",True,False,False,False,False,"turtles, patches, links, with","Ants, Mimicry, Moths, Tumor",,,,,,,,,,,,,,,,
breed,Defines a custom breed of turtles.,"kind, type, subset, custom",True,False,False,False,False,"create-turtles, turtles-own, die, ask","Bacterial Infection, Disease Solo, Rabbit Grass Weeds, Wolf Sheep Predation",,,,,,,,,,,,,,,,
ceiling,Rounds a number up to the nearest integer.,"round, up, integer, decimal, floating, math, calculate",False,False,False,False,True,"floor, round, mean, count","GasLab Circular Particles, Traffic 2 Lanes, Chaos in a Box, Decay",,,,,,,,,,,,,,,,
ca,"Clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-patches, clear-turtles, die, reset-ticks","Flocking, Fur, Daisyworld, Wolf Sheep Predation, Follower",,,,,,,,,,,,,,,,
clear-all,"Clears all the drawings, turtles, plots, etc., leaving a blank slate.","clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-patches, clear-turtles, die, reset-ticks","Flocking, Fur, Daisyworld, Wolf Sheep Predation, Follower",,,,,,,,,,,,,,,,
clear-patches,Clears the patches by resetting all patch variables to their default initial values and making them black.,"clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-all, clear-turtles, die, reset-ticks","Disease Solo, Turbulence, Simple Kinetics 3, Simple Birth Rates",,,,,,,,,,,,,,,,
clear-turtles,Removes all the turtles as well as resets the numbering of turtles.,"clear, erase, remove, delete, clean, new, fresh, refresh, reset, restart, reboot, recreate",True,False,False,False,False,"clear-all, clear-patches, die, reset-ticks","Grand Canyon, Disease Solo, CA 1D Elementary, Simple Birth Rates",,,,,,,,,,,,,,,,
color,Built-in turtle characteristic that reports the color of a turtle and allows us to change it.,"color, pencil, change, turtle, link, look, style, design, visual, hue, rgb, hex",False,True,False,True,False,"pcolor, scale-color, turtles-own, of","Sunflower, Mammoths, Bacterial Infection, Tumor",,,,,,,,,,,,,,,,
count,Counts the number of agents in an agentset.,"number, agents, many, turtles, links, patches, amount, total, sum",False,False,False,False,True,"mean, mod, if, ifelse","Mimicry, Peppered Moths, Virus, Plant Growth",,,,,,,,,,,,,,,,
create-links-with,Creates links with every agent in an agentset.,"social, connect, network, web, complex, relation",False,True,False,False,False,"link-neighbors, layout-circle, links, n-of","Team Assembly, CRISPR Bacterium, Membrane Formation, Virus on a Network",,,,,,,,,,,,,,,,
crt,Creates turtles with random colors and headings at the center of the world.,"create, make, more, turtle, new, agent",True,False,False,False,False,"hatch, sprout, ask, turtles-own","Sunflower, Wolf Sheep Predation, Virus, Plant Growth",,,,,,,,,,,,,,,,
